Tiempo,Posición_Y,Velocidad_Y,Velocidad_Ruedas,Fuerza_Ruedas
1708805998.6728046,13.123512450870328,2.5907608953419548,11.000000310008307,6.022929948541339
1708805998.6769753,13.134238645108768,2.5742866172255554,11.00007047710756,-14.97571625304211
1708805998.681111,13.144851771262022,2.547150276780858,10.99997895662768,-8.979096721778587
1708805998.6852474,13.155303617531711,2.508443104725163,11.000019211237353,-4.570289541877815
1708805998.689417,13.165651330474642,2.4834511063034928,11.00007291145294,-1.552339946089874
1708805998.6935802,13.175908205333322,2.4616499660830886,10.999985705451065,1.5516557221839924
1708805998.6977532,13.18615059378253,2.4581732278099935,11.00003462407436,-18.183071403047435
1708805998.7019198,13.196361739759976,2.450675034587012,11.000095332411796,-22.454851143362827
1708805998.706069,13.206530218555674,2.4404349109674337,11.00003046623051,-5.662792987900258
1708805998.7102432,13.216635368355313,2.4252359519131885,10.999994112329437,1.176948903478465
1708805998.7144027,13.226807520172505,2.441316436126096,10.999967369411053,-17.310473542596448
1708805998.7185907,13.23700256118471,2.4468098429289533,11.000050700159203,-24.064124435648313
1708805998.7227347,13.247177942551447,2.442091528016876,11.000026023855984,-6.260765354344975
1708805998.7269008,13.257292081423875,2.4273933293827414,10.999993337690462,1.120294121868137
1708805998.7310822,13.267466734691547,2.4419167842413483,11.000012359567418,-21.198814165904086
1708805998.7352395,13.277644925733398,2.442765850044206,11.000047921638535,-15.911045238554419
1708805998.7394211,13.287816385297228,2.441150295319143,11.000043334567401,-18.063784171529022
1708805998.7435722,13.297936308192531,2.428781494872532,10.999992586420431,0.9924707843747582
1708805998.7477293,13.308132142389175,2.447000207194379,10.999975241897651,-18.33337688607197
1708805998.7519166,13.31836650987238,2.4562481959690787,11.000052936495715,-24.819755799988844
1708805998.7560618,13.328588688371719,2.4533228398411544,11.000023259453345,-6.9006957665172335
1708805998.7602403,13.338753786755756,2.4396236121689725,10.999992630506965,1.0541325092090394
1708805998.7644103,13.348926710014597,2.441501582121817,10.999998998786756,0.09394025462813649
1708805998.7685642,13.359150178461675,2.4536324272987957,11.000025382492355,-18.2119101214758
1708805998.7727468,13.369391857522004,2.458002974479006,11.000023196715384,-20.57752989086065
1708805998.7768936,13.37961993538756,2.4547386877332724,11.000012977282664,-4.037472345407393
1708805998.7810678,13.389803400132982,2.4440315389014438,10.999996003077756,0.8872820649593695
